id,name,stop,line
07e1,103 St,119,1
0d51,116 St - Columbia University,117,1
c451,125 St,116,1
2b44,137 St - City College,115,1
65de,14 St,132,1
5fd0,145 St,114,1
7327,157 St,113,1
e467,168 St - Washington Hts,112,1
e467,168 St - Washington Hts,A09,1
1afa,18 St,131,1
698d,181 St,111,1
5f93,191 St,110,1
a3c6,207 St,108,1
a97d,215 St,107,1
9b86,23 St,130,1
c9e1,231 St,104,1
6974,238 St,103,1
d1f4,28 St,129,1
76dc,34 St - Penn Station,128,1
0690,50 St,126,1
7a18,59 St - Columbus Circle,125,1
7a18,59 St - Columbus Circle,A24,1
c8ff,66 St - Lincoln Center,124,1
202c,72 St,123,1
a0a0,79 St,122,1
4c56,86 St,121,1
da4f,96 St,120,1
7f1d,Canal St,135,1
5ef0,Cathedral Pkwy,118,1
3988,Chambers St,137,1
9fc3,Christopher St - Sheridan Sq,133,1
013d,Cortlandt St,138,1
2723,Dyckman St,109,1
42a0,Franklin St,136,1
0252,Houston St,134,1
f093,Marble Hill - 225 St,106,1
e00d,Rector St,139,1
a8ba,South Ferry,142,1
84ac,Times Sq - 42 St,127,1
84ac,Times Sq - 42 St,725,1
84ac,Times Sq - 42 St,902,1
84ac,Times Sq - 42 St,R16,1
38b3,Van Cortlandt Park - 242 St,101,1
9cfd,116 St,226,2
d1c3,125 St,225,2
13fe,135 St,224,2
65de,14 St,132,2
64f8,149 St - Grand Concourse,222,2
64f8,149 St - Grand Concourse,415,2
3b8a,174 St,215,2
69ad,219 St,207,2
7eab,225 St,206,2
eae2,233 St,205,2
060a,3 Av - 149 St,221,2
76dc,34 St - Penn Station,128,2
202c,72 St,123,2
da4f,96 St,120,2
6f3e,Allerton Av,210,2
d2c6,Atlantic Av - Barclays Ctr,235,2
d2c6,Atlantic Av - Barclays Ctr,D24,2
d2c6,Atlantic Av - Barclays Ctr,R31,2
0116,Bergen St,236,2
0266,Beverly Rd,245,2
4e75,Borough Hall / Court St,232,2
4e75,Borough Hall / Court St,423,2
4e75,Borough Hall / Court St,R28,2
1534,Bronx Park East,212,2
b1d1,Burke Av,209,2
705f,Central Park North (110 St),227,2
3988,Chambers St,137,2
9188,Church Av,244,2
9b04,Clark St,231,2
979d,E 180 St,213,2
ac1d,Eastern Pkwy - Brooklyn Museum,238,2
3cec,Flatbush Av - Brooklyn College,247,2
a301,Franklin Av / Botanic Garden,239,2
a301,Franklin Av / Botanic Garden,S04,2
45fb,Freeman St,216,2
3cf6,Fulton St,229,2
3cf6,Fulton St,418,2
3cf6,Fulton St,A38,2
3cf6,Fulton St,M22,2
539f,Grand Army Plaza,237,2
091d,Gun Hill Rd,208,2
e165,Hoyt St,233,2
e96e,Intervale Av,218,2
ec8c,Jackson Av,220,2
274a,Nereid Av,204,2
289d,Nevins St,234,2
38db,Newkirk Av,246,2
74db,Park Pl,228,2
eb16,Pelham Pkwy,211,2
f340,President St,241,2
c0e1,Prospect Av,219,2
63dc,Simpson St,217,2
e4a6,Sterling St,242,2
84ac,Times Sq - 42 St,127,2
84ac,Times Sq - 42 St,725,2
84ac,Times Sq - 42 St,902,2
84ac,Times Sq - 42 St,R16,2
757b,Wakefield - 241 St,201,2
6da9,Wall St,230,2
ca46,West Farms Sq - E Tremont Av,214,2
cb70,Winthrop St,243,2
9cfd,116 St,226,3
d1c3,125 St,225,3
13fe,135 St,224,3
65de,14 St,132,3
577b,145 St,302,3
76dc,34 St - Penn Station,128,3
202c,72 St,123,3
da4f,96 St,120,3
d2c6,Atlantic Av - Barclays Ctr,235,3
d2c6,Atlantic Av - Barclays Ctr,D24,3
d2c6,Atlantic Av - Barclays Ctr,R31,3
0116,Bergen St,236,3
4e75,Borough Hall / Court St,232,3
4e75,Borough Hall / Court St,423,3
4e75,Borough Hall / Court St,R28,3
705f,Central Park North (110 St),227,3
3988,Chambers St,137,3
9b04,Clark St,231,3
6c98,Crown Hts - Utica Av,250,3
ac1d,Eastern Pkwy - Brooklyn Museum,238,3
a301,Franklin Av / Botanic Garden,239,3
a301,Franklin Av / Botanic Garden,S04,3
